Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,Presidential_VoteShare_Dem2016,Presidential_VoteShare_GOP2016,DW-Nominate_1,DW-Nominate_2,TBIP_Floor_Speeches,Present_Cong115,Progressive_Caucus_Cong115,NewDems_Caucus_Cong115,BlueDog_Caucus_Cong115,ProblemSolvers_Caucus_Cong115,RSC_Caucus_Cong115,Freedom_Caucus_Cong115,GOP_Leadership_Cong115,DEM_Leadership_Cong115,CommitteeChair_Cong115,TopCommittee_Cong115,Present_Cong116,Progressive_Caucus_Cong116,NewDems_Caucus_Cong116,BlueDog_Caucus_Cong116,ProblemSolvers_Caucus_Cong116,RSC_Caucus_Cong116,Freedom_Caucus_Cong116,GOP_Leadership_Cong116,DEM_Leadership_Cong116,CommitteeChair_Cong116,TopCommittee_Cong116,House_Election_Candidate_Vote_Share_2016,House_Election_Candidate_Vote_Share_2018
M001201,Paul Mitchell (politician),M,Republican,1961,2,MI-10,31.6,63.8,0.432,0.302,0.30832276,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,61.787416135778905,60.31993242351451
B001250,Rob Bishop,M,Republican,1951,9,UT-01,22.4,49.7,0.536,0.099,0.2701606,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,63.86371158214613,61.60899293445994
Y000033,Don Young,M,Republican,1933,24,AK-AL,37.6,52.8,0.284,0.023,0.16626972,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.64051331043221,53.08187379060553
G000551,Raul M. Grijalva,M,Democrat,1948,9,AZ-03,62.4,32.5,-0.599,-0.252,-0.067708895,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,79.7521123692721,63.86546195924643
W000821,Bruce Westerman,M,Republican,1967,3,AR-04,31.3,64.2,0.547,0.36,0.48307502,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,71.17788402653596,66.73759834449369
G000565,Paul Gosar,M,Republican,1958,5,AZ-04,27.5,67.7,0.671,-0.407,0.28504804,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,69.83204525308908,68.16539426426263
M001177,Tom McClintock,M,Republican,1956,6,CA-04,39.3,54.0,0.721,-0.48,0.2517504,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,58.489774909200264,54.13146477070576
D000610,Theodore E. Deutch,M,Democrat,1966,6,FL-22,56.8,41.0,-0.401,-0.102,-0.25947228,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,60.38191565190163,62.02369634812871
T000465,Niki Tsongas,F,Democrat,1946,6,MA-03,58.2,35.4,-0.396,-0.199,0.04140383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0999857690425,
M001157,Michael McCaul,M,Republican,1962,8,TX-10,43.2,52.3,0.439,0.089,-0.02406457,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,54.21862684892824,51.056599973361664
