Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,Present_Cong115,Present_Cong116,House_Election_Candidate_Vote_Share_2016,House_Election_Candidate_Vote_Share_2018,District,District_Presidential_VoteShare_Dem2016,District_Presidential_VoteShare_GOP2016,District_Density,District_Percent_Female,District_Percent_Male,District_Percent_Senior,District_Median_Age,District_Percent_White,District_Percent_Black,District_Percent_Asian,District_Percent_Hispanic,District_Percent_AmericanIndian,District_Mean_Income,District_Mean_Minus_National_Mean_Income,District_Median_Income,District_Median_Minus_National_Median_Income,District_Unemployment_Rate,DW-Nominate_1,DW-Nominate_2,TBIP_Floor_Speeches,TBIP_Tweets,Standardized_Vote_Ideal_Point,Standardized_Speech_Ideal_Point,Standardized_Tweet_Ideal_Point,Progressive_Caucus_Cong115,NewDems_Caucus_Cong115,BlueDog_Caucus_Cong115,ProblemSolvers_Caucus_Cong115,RSC_Caucus_Cong115,Freedom_Caucus_Cong115,GOP_Leadership_Cong115,DEM_Leadership_Cong115,CommitteeChair_Cong115,TopCommittee_Cong115,Progressive_Caucus_Cong116,NewDems_Caucus_Cong116,BlueDog_Caucus_Cong116,ProblemSolvers_Caucus_Cong116,RSC_Caucus_Cong116,Freedom_Caucus_Cong116,GOP_Leadership_Cong116,DEM_Leadership_Cong116,CommitteeChair_Cong116,TopCommittee_Cong116
A000055,Robert B. Aderholt,M,Republican,1965,12,1,1,89.32151109769501,79.77477496980114,AL-04,17.4,80.4,Pure rural,51.08,48.92,0.62,41.1,86.8,7.4,0.5,6.9,0.5,63030,-29294,47531,-18181,2.4,0.366,0.594,0.042678359895944595,0.5293091535568237,0.9656238555908203,-0.04845939204096794,1.1686211267042639,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
A000367,Justin Amash,M,Republican,1980,5,1,1,57.05851279656411,54.420737594130145,MI-03,42.2,51.6,Rural-suburban mix,50.44,49.56,0.6,37.4,82.8,8.3,2.1,8.0,0.3,86599,-5725,64919,-793,3.0,0.279,-0.96,-0.19020041823387146,-0.060465678572654724,0.5653459429740906,-0.8609768152236938,-0.41695948836545527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000370,Alma Adams,F,Democrat,1946,4,1,1,69.71077496905025,73.0728170295696,NC-12,67.3,29.5,Sparse suburban,50.35,49.65,0.91,34.1,44.9,37.5,5.8,15.9,0.4,88761,-3563,61658,-4054,2.9,-0.469,0.009,-0.2706511318683624,-0.3275170624256134,-1.2060761451721191,-1.14167058467865,-1.134913993029422,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A000371,Pete Aguilar,M,Democrat,1979,3,1,1,57.311659242844506,58.74449985332942,CA-31,57.7,36.6,Dense suburban,50.35,49.65,1.24,34.2,60.5,11.2,8.4,53.5,0.4,89857,-2467,70554,4842,3.3,-0.288,0.13,-0.16442252695560455,-0.24415117502212524,-0.9846565127372742,-0.7710373997688293,-0.9107889069388777,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
A000372,Rick Allen,M,Republican,1951,3,1,1,60.5570071515368,59.47806091285446,GA-12,40.7,56.9,Pure rural,49.59,50.41,0.84,36.0,58.1,34.3,1.7,6.5,0.1,67288,-25036,50217,-15495,3.2,0.673,0.301,0.4891362190246582,0.5119516253471375,1.0746541023254395,1.509238600730896,1.1219562662261853,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000374,Ralph Abraham,M,Republican,1954,3,1,1,55.03828525575639,66.54193421628428,LA-05,34.1,63.5,Pure rural,50.14,49.86,0.78,38.3,60.6,35.1,0.8,2.7,0.3,60324,-32000,41257,-24455,2.9,0.527,0.301,0.40205076336860657,0.3796161711215973,0.9927451014518738,1.2053961753845215,0.7661789093850288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000375,Jodey Arrington,M,Republican,1972,2,1,1,80.9598974004834,75.22637819640072,TX-19,23.5,72.5,Rural-suburban mix,50.01,49.99,0.52,33.9,83.6,6.2,1.6,37.4,0.4,72678,-19646,55278,-10434,1.6,0.624,-0.041,0.5311964154243469,0.47625383734703064,1.0120996236801147,1.65598726272583,1.0259845197725972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000377,Kelly Armstrong,M,Republican,1976,1,0,1,,60.20178395929487,ND-AL,27.7,64.1,Rural-suburban mix,49.07,50.93,0.33,35.5,85.8,2.9,1.4,4.0,5.4,85551,-6773,64577,-1135,1.8,0.429,0.128,-0.13058878481388092,0.4657496213912964,1.112224817276001,-0.6529909372329712,0.9977444520576326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000378,Cindy Axne,F,Democrat,1965,1,0,1,,49.304263125243864,IA-03,45.0,48.5,Sparse suburban,50.91,49.09,0.33,37.4,88.2,5.2,3.7,7.2,0.3,88332,-3992,67681,1969,2.9,-0.23,0.596,0.1068568080663681,0.1406000554561615,-0.4674108624458313,0.17546014487743378,0.123595843708913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B000213,Joe Barton,M,Republican,1949,17,1,0,55.80649792760013,,TX-06,41.9,54.2,Dense suburban,51.24,48.76,14.62,35.4,64.2,21.5,5.0,22.9,0.6,90942,3078,71756,9819,3.9,0.528,0.047,0.17518047988414764,0.6680095195770264,0.8617718815803528,0.41384243965148926,1.5415102357065058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000490,Sanford Bishop Jr.,M,Democrat,1947,14,1,1,60.46208957754838,59.649344812389,GA-02,55.0,43.3,Rural-suburban mix,49.29,50.71,1.22,37.3,41.6,52.8,1.0,5.2,0.3,58084,-34240,39728,-25984,5.1,-0.282,0.465,-0.20508471131324768,0.17639878392219543,-0.8788628578186035,-0.9129083156585693,0.21983896363815836,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
