id,Geographic.Area.Name,TotalPop,MalePop,FemalePop,MedianAge,SeniorPop,WhitePop,WhitePercent,BlackPop,BlackPercent,AmIndianPop,AmIndianPercent,AsianPop,AsianPercent,HispanicPop,HispanicPercent,VAP,DistrictMedianIncome,DistrictMeanIncome,NationalMedian,DifferenceMedianIncome,NationalMean,DifferenceMeanIncome,UneployedPop,UnemploymentRate
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska",737438,382952,354486,34.9,113725,474555,64.4,25197,3.4,111371,15.1,46381,6.3,53069,7.2,532244,74346,96080,61937,12409,87864,8216,25410,6.8
5001600US1000,"Congressional District (at Large) (116th Congress), Delaware",967171,467924,499247,41.1,221758,659781,68.2,217594,22.5,4397,0.5,39023,4,91975,9.5,720867,64805,84896,61937,2868,87864,-2968,27858,5.7
5001600US3000,"Congressional District (at Large) (116th Congress), Montana",1062305,534782,527523,40.1,246930,941438,88.6,5056,0.5,68013,6.4,8517,0.8,41605,3.9,823668,55328,72648,61937,-6609,87864,-15216,19003,3.5
5001600US3800,"Congressional District (at Large) (116th Congress), North Dakota",760077,391222,368855,35.4,141838,651687,85.7,25896,3.4,41270,5.4,13749,1.8,27444,3.6,567351,63837,82435,61937,1900,87864,-5429,11691,2.8
5001600US4600,"Congressional District (at Large) (116th Congress), South Dakota",882235,445271,436964,37.2,182585,740870,84,19057,2.2,78068,8.8,15023,1.7,33983,3.9,647089,56274,74046,61937,-5663,87864,-13818,13845,3
5001600US5000,"Congressional District (at Large) (116th Congress), Vermont",626299,308118,318181,43.1,153634,589337,94.1,7621,1.2,1743,0.3,11859,1.9,12450,2,500274,60782,79514,61937,-1155,87864,-8350,13128,3.8
5001600US5600,"Congressional District (at Large) (116th Congress), Wyoming",577737,292619,285118,38.5,120327,528453,91.5,3667,0.6,16185,2.8,5807,1,57895,10,433644,61584,81935,61937,-353,87864,-5929,11684,3.9
5001600US0101,"Congressional District 1 (116th Congress), Alabama",715346,344543,370803,40.3,153488,479949,67.1,196891,27.5,6992,1,10627,1.5,24141,3.4,544464,46445,65685,61937,-15492,87864,-22179,15878,5
5001600US0401,"Congressional District 1 (116th Congress), Arizona",770392,388546,381846,38.4,176246,504227,65.5,19319,2.5,180970,23.5,11798,1.5,177124,23,568661,55444,70752,61937,-6493,87864,-17112,22685,7.4
5001600US0501,"Congressional District 1 (116th Congress), Arkansas",724622,359868,364754,39.5,158085,561702,77.5,122626,16.9,2554,0.4,2796,0.4,24769,3.4,548710,41553,56247,61937,-20384,87864,-31617,18392,5.9
5001600US0601,"Congressional District 1 (116th Congress), California",711282,357637,353645,42.8,190571,605294,85.1,12691,1.8,11320,1.6,19443,2.7,98995,13.9,553702,55316,74313,61937,-6621,87864,-13551,20842,6.7
5001600US0801,"Congressional District 1 (116th Congress), Colorado",841497,420311,421186,35.1,125952,658995,78.3,65739,7.8,7236,0.9,29889,3.6,227592,27,619349,71198,102297,61937,9261,87864,14433,18256,3.6
5001600US0901,"Congressional District 1 (116th Congress), Connecticut",715049,346571,368478,40.4,153973,496973,69.5,111042,15.5,1420,0.2,38270,5.4,125592,17.6,523004,73884,97296,61937,11947,87864,9432,20429,5.3
5001600US1201,"Congressional District 1 (116th Congress), Florida",784532,393809,390723,38.9,163421,601815,76.7,106063,13.5,4133,0.5,22245,2.8,53522,6.8,601423,59088,79154,61937,-2849,87864,-8710,19157,5.3
