id,Geographic.Area.Name,TotalPop,TotalMale,TotalFemale,MedianAge,SeniorPop,WhitePop,WhitePercent,BlackPop,BlackPercent,AmIndianPop,AmIndianPercent,AsianPop,AsianPercentage,HispanicPop,HispanicPercentage,VAP,DistrictMedianIncome,DistrictMeanIncome,NationalMedian,DifferenceMedianIncome,NationalMean,DifferenceMeanIncome,UnemployedPop,UnemployedRate
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska",469771,250003,219768,35,2889,469771,64.2,22551,3.1,115544,15.8,43678,6,52548,7.2,533151,75463,98504,65712,9751,92324,6180,20650,3.6
5001600US1000,"Congressional District (at Large) (116th Congress), Delaware",659719,320817,338902,41.4,3116,659719,67.7,219418,22.5,4353,0.4,36592,3.8,93390,9.6,725178,70176,92445,65712,4464,92324,121,22631,2.9
5001600US3000,"Congressional District (at Large) (116th Congress), Montana",940423,473606,466817,40.5,2951,940423,88,7787,0.7,67603,6.3,8927,0.8,40328,3.8,831760,57153,77320,65712,-8559,92324,-15004,22004,2.5
5001600US3800,"Congressional District (at Large) (116th Congress), North Dakota",653910,333008,320902,35.5,2126,653910,85.8,22256,2.9,40970,5.4,10669,1.4,30486,4,567545,64577,85551,65712,-1135,92324,-6773,10920,1.8
5001600US4600,"Congressional District (at Large) (116th Congress), South Dakota",743764,374624,369140,37.7,2832,743764,84.1,20866,2.4,75809,8.6,11530,1.3,33018,3.7,653394,59533,77650,65712,-6179,92324,-14674,14033,2
5001600US5000,"Congressional District (at Large) (116th Congress), Vermont",585117,289492,295625,42.8,2426,585117,93.8,9435,1.5,2928,0.5,8603,1.4,12408,2,498705,63001,83015,65712,-2711,92324,-9309,11552,2.2
5001600US5600,"Congressional District (at Large) (116th Congress), Wyoming",525860,266925,258935,38.1,2731,525860,90.9,7116,1.2,13774,2.4,4633,0.8,58607,10.1,434852,65003,83155,65712,-709,92324,-9169,10539,2.3
5001600US0101,"Congressional District 1 (116th Congress), Alabama",479955,232205,247750,40.4,3707,479955,66.9,196641,27.4,7360,1,10157,1.4,23629,3.3,546223,50663,68866,65712,-15049,92324,-23458,18449,3.2
5001600US0401,"Congressional District 1 (116th Congress), Arizona",502033,256680,245353,39,5444,502033,64.2,22032,2.8,180019,23,12520,1.6,180055,23,579140,56117,73110,65712,-9595,92324,-19214,22260,3.6
5001600US0501,"Congressional District 1 (116th Congress), Arkansas",556680,276010,280670,40.1,2897,556680,77.4,126465,17.6,1951,0.3,3775,0.5,24421,3.4,548521,43193,60979,65712,-22519,92324,-31345,20270,3.5
5001600US0601,"Congressional District 1 (116th Congress), California",603558,298547,305011,41.1,3911,603558,84.8,11113,1.6,11588,1.6,21669,3,108667,15.3,548314,61433,84470,65712,-4279,92324,-7854,17742,3
5001600US0801,"Congressional District 1 (116th Congress), Colorado",669632,335775,333857,35.3,3500,669632,78.5,66434,7.8,5488,0.6,29017,3.4,231229,27.1,635916,77507,109121,65712,11795,92324,16797,15285,2.2
5001600US0901,"Congressional District 1 (116th Congress), Connecticut",476475,229709,246766,40.9,4762,476475,67.8,107703,15.3,2347,0.3,39286,5.6,121150,17.2,519263,75502,99066,65712,9790,92324,6742,18663,3.2
5001600US1201,"Congressional District 1 (116th Congress), Florida",610105,306541,303564,38.8,2874,610105,76.4,102694,12.9,3299,0.4,19100,2.4,55078,6.9,606302,58358,79218,65712,-7354,92324,-13106,18230,2.8
5001600US1301,"Congressional District 1 (116th Congress), Georgia",465838,233457,232381,36.6,3141,465838,62.1,230141,30.7,2724,0.4,12453,1.7,52623,7,559876,55542,73443,65712,-10170,92324,-18881,19623,3.3
5001600US1501,"Congressional District 1 (116th Congress), Hawaii",120751,68267,52484,39.1,3513,120751,16.8,17217,2.4,1527,0.2,364354,50.5,65344,9.1,518980,86674,110739,65712,20962,92324,18415,12538,2.1
5001600US1601,"Congressional District 1 (116th Congress), Idaho",828763,412091,416672,38.8,4765,828763,88.7,7763,0.8,11235,1.2,11561,1.2,107377,11.5,682493,62886,79834,65712,-2826,92324,-12490,12089,1.7
5001600US1701,"Congressional District 1 (116th Congress), Illinois",298659,147663,150996,38.8,5894,298659,42,359132,50.5,745,0.1,18714,2.6,78785,11.1,525671,56680,77579,65712,-9032,92324,-14745,28629,5
5001600US1801,"Congressional District 1 (116th Congress), Indiana",511065,253442,257623,39.9,2832,511065,71.1,132758,18.5,2379,0.3,11002,1.5,117031,16.3,540076,61104,80239,65712,-4608,92324,-12085,18801,3.3
5001600US1901,"Congressional District 1 (116th Congress), Iowa",700111,345700,354411,39.2,2503,700111,90.5,32737,4.2,3350,0.4,12561,1.6,33640,4.3,581804,61542,78642,65712,-4170,92324,-13682,15738,2.5
5001600US2001,"Congressional District 1 (116th Congress), Kansas",610172,304074,306098,36.3,2613,610172,87.9,19109,2.8,6259,0.9,11060,1.6,113616,16.4,501367,55188,69132,65712,-10524,92324,-23192,12268,2.2
5001600US2101,"Congressional District 1 (116th Congress), Kentucky",636458,316852,319606,40.4,3123,636458,88.7,50272,7,2795,0.4,4474,0.6,22485,3.1,555777,46999,62181,65712,-18713,92324,-30143,15460,2.7
5001600US2201,"Congressional District 1 (116th Congress), Louisiana",635105,307684,327421,39.1,4506,635105,79.4,112319,14,9158,1.1,17842,2.2,70979,8.9,588760,61431,85515,65712,-4281,92324,-6809,16370,2.6
5001600US2301,"Congressional District 1 (116th Congress), Maine",642538,311550,330988,44.5,2846,642538,93.6,14754,2.1,3157,0.5,10160,1.5,13182,1.9,550561,67392,88603,65712,1680,92324,-3721,11288,2
5001600US2401,"Congressional District 1 (116th Congress), Maryland",603276,295547,307729,43,4167,603276,81.8,91687,12.4,1941,0.3,16312,2.2,33554,4.6,567020,80022,103447,65712,14310,92324,11123,12421,2.1
5001600US2501,"Congressional District 1 (116th Congress), Massachusetts",606927,295338,311589,41.1,3435,606927,83.8,47937,6.6,1278,0.2,15576,2.2,139602,19.3,561563,61559,83856,65712,-4153,92324,-8468,17291,2.9
5001600US2601,"Congressional District 1 (116th Congress), Michigan",642735,324260,318475,47.1,2102,642735,92.2,9777,1.4,18626,2.7,4921,0.7,13254,1.9,565370,51553,68906,65712,-14159,92324,-23418,16958,2.9
5001600US2701,"Congressional District 1 (116th Congress), Minnesota",604755,299794,304961,38.3,1936,604755,89.1,21232,3.1,2076,0.3,20675,3,46456,6.8,497765,66330,84127,65712,618,92324,-8197,8910,1.7
5001600US2801,"Congressional District 1 (116th Congress), Mississippi",513762,252221,261541,38.3,3299,513762,66.8,222636,29,1110,0.1,8329,1.1,25750,3.3,579478,50243,68794,65712,-15469,92324,-23530,15263,2.5
5001600US2901,"Congressional District 1 (116th Congress), Missouri",308948,153354,155594,36,4418,308948,42.5,356860,49,1724,0.2,25193,3.5,25856,3.6,547921,50163,67195,65712,-15549,92324,-25129,19912,3.4
5001600US3101,"Congressional District 1 (116th Congress), Nebraska",574306,289591,284715,36,2412,574306,88.1,18112,2.8,9677,1.5,17730,2.7,65485,10,475365,63921,82207,65712,-1791,92324,-10117,10553,2.1
5001600US3201,"Congressional District 1 (116th Congress), Nevada",365927,187747,178180,36.4,4620,365927,51.4,85885,12.1,12207,1.7,65917,9.3,334593,47,423658,44078,61138,65712,-21634,92324,-31186,21435,3.8
5001600US3301,"Congressional District 1 (116th Congress), New Hampshire",637422,312775,324647,42.5,3798,637422,92.8,11005,1.6,593,0.1,18207,2.7,28283,4.1,540722,79996,104135,65712,14284,92324,11811,12384,2.2
5001600US3401,"Congressional District 1 (116th Congress), New Jersey",494276,241846,252430,39.2,3290,494276,68,123518,17,938,0.1,36544,5,102600,14.1,539844,75244,100323,65712,9532,92324,7999,20275,3.5
5001600US3501,"Congressional District 1 (116th Congress), New Mexico",514572,251435,263137,39.1,3364,514572,74.4,18428,2.7,31405,4.5,18390,2.7,352783,51,510328,55318,78525,65712,-10394,92324,-13799,17548,3.1
5001600US3601,"Congressional District 1 (116th Congress), New York",609438,294884,314554,42.3,5832,609438,85.5,36942,5.2,924,0.1,29313,4.1,127633,17.9,526240,101701,136154,65712,35989,92324,43830,13194,2.3
5001600US3701,"Congressional District 1 (116th Congress), North Carolina",359842,176809,183033,38.4,3437,359842,47.1,340076,44.5,4174,0.5,14041,1.8,68869,9,570191,47469,67332,65712,-18243,92324,-24992,20431,3.3
5001600US3901,"Congressional District 1 (116th Congress), Ohio",530281,263904,266377,36.7,3567,530281,70.7,160639,21.4,325,0,29845,4,25303,3.4,550781,63648,93109,65712,-2064,92324,785,17821,3
5001600US4001,"Congressional District 1 (116th Congress), Oklahoma",575809,282426,293383,36.6,2203,575809,71.1,69519,8.6,50151,6.2,26884,3.3,96693,11.9,574642,59660,83972,65712,-6052,92324,-8352,19807,3.1
5001600US4101,"Congressional District 1 (116th Congress), Oregon",673842,332701,341141,38,3425,673842,78.5,15582,1.8,6052,0.7,77304,9,129232,15,617472,81473,106277,65712,15761,92324,13953,17477,2.5
5001600US4201,"Congressional District 1 (116th Congress), Pennsylvania",609026,297561,311465,43.5,3221,609026,85.4,33269,4.7,436,0.1,44160,6.2,39580,5.5,542506,93474,120759,65712,27762,92324,28435,15339,2.6
5001600US4401,"Congressional District 1 (116th Congress), Rhode Island",402110,195908,206202,39.3,3853,402110,75.9,45547,8.6,1890,0.4,16821,3.2,101158,19.1,391053,66652,90710,65712,940,92324,-1614,11976,2.7
5001600US4501,"Congressional District 1 (116th Congress), South Carolina",591572,288306,303266,39.8,3671,591572,72,156022,19,3124,0.4,17006,2.1,50332,6.1,615755,77185,104432,65712,11473,92324,12108,13866,2.1
5001600US4701,"Congressional District 1 (116th Congress), Tennessee",682102,334303,347799,44,2796,682102,94.1,16808,2.3,2938,0.4,5743,0.8,29899,4.1,570495,47478,65629,65712,-18234,92324,-26695,17056,2.8
5001600US4801,"Congressional District 1 (116th Congress), Texas",562797,275407,287390,37.4,2695,562797,77.5,124684,17.2,3044,0.4,8127,1.1,130443,18,518180,54396,73629,65712,-11316,92324,-18695,16428,2.9
5001600US4901,"Congressional District 1 (116th Congress), Utah",720006,365526,354480,31.1,2923,720006,91.4,7161,0.9,8939,1.1,13591,1.7,106463,13.5,529838,73964,92610,65712,8252,92324,286,10591,1.8
5001600US5101,"Congressional District 1 (116th Congress), Virginia",596921,297677,299244,39.3,3768,596921,72.4,134826,16.4,1781,0.2,29756,3.6,91439,11.1,592356,90181,109944,65712,24469,92324,17620,16306,2.5
5001600US5301,"Congressional District 1 (116th Congress), Washington",594230,300548,293682,38.8,5928,594230,75.1,12178,1.5,8855,1.1,102923,13,76815,9.7,533647,106190,138538,65712,40478,92324,46214,14716,2.3
5001600US5401,"Congressional District 1 (116th Congress), West Virginia",563410,278983,284427,42.3,3193,563410,93.6,15153,2.5,2087,0.3,5504,0.9,7405,1.2,482965,51480,69024,65712,-14232,92324,-23300,15703,3.1
5001600US5501,"Congressional District 1 (116th Congress), Wisconsin",627038,311574,315464,40.9,4491,627038,86.9,43033,6,2509,0.3,15748,2.2,73056,10.1,540501,68695,86380,65712,2983,92324,-5944,15878,2.7
5001600US0610,"Congressional District 10 (116th Congress), California",586647,287879,298768,34.8,3950,586647,76.7,27051,3.5,5538,0.7,56313,7.4,345032,45.1,491086,69647,87678,65712,3935,92324,-4646,23704,4
5001600US1210,"Congressional District 10 (116th Congress), Florida",439898,218947,220951,36.1,5787,439898,54.2,239675,29.5,1295,0.2,42185,5.2,231635,28.5,535381,61737,89007,65712,-3975,92324,-3317,19153,3
5001600US1310,"Congressional District 10 (116th Congress), Georgia",511091,256186,254905,37.7,5777,511091,67.4,197751,26.1,496,0.1,18729,2.5,40292,5.3,563658,61151,80728,65712,-4561,92324,-11596,16927,2.8
5001600US1710,"Congressional District 10 (116th Congress), Illinois",486169,243307,242862,38.7,4008,486169,68.8,50362,7.1,3909,0.6,76956,10.9,177533,25.1,469258,84608,125139,65712,18896,92324,32815,15343,2.7
5001600US2610,"Congressional District 10 (116th Congress), Michigan",663644,327265,336379,43.7,4033,663644,91.9,22970,3.2,1102,0.2,12052,1.7,24426,3.4,554418,67472,84871,65712,1760,92324,-7453,17514,3
5001600US3410,"Congressional District 10 (116th Congress), New Jersey",236569,118932,117637,36.7,4759,236569,31.1,388608,51,2155,0.3,48677,6.4,152563,20,506649,61975,86791,65712,-3737,92324,-5533,27764,4.6
5001600US3610,"Congressional District 10 (116th Congress), New York",503607,247679,255928,37,7569,503607,68.7,27045,3.7,2096,0.3,136773,18.7,98403,13.4,498723,103331,190247,65712,37619,92324,97923,14769,2.5
5001600US3710,"Congressional District 10 (116th Congress), North Carolina",626605,303710,322895,42.1,3861,626605,81.2,97258,12.6,3575,0.5,13744,1.8,54875,7.1,591040,53189,72992,65712,-12523,92324,-19332,18769,3
5001600US3910,"Congressional District 10 (116th Congress), Ohio",546380,265708,280672,38.7,2206,546380,75.5,117319,16.2,3072,0.4,15303,2.1,22767,3.1,552940,56595,76185,65712,-9117,92324,-16139,19867,3.4
5001600US4210,"Congressional District 10 (116th Congress), Pennsylvania",581914,283200,298714,40.3,3187,581914,78.1,85079,11.4,1658,0.2,30475,4.1,67716,9.1,558693,67155,86736,65712,1443,92324,-5588,13811,2.3
5001600US4810,"Congressional District 10 (116th Congress), Texas",648467,320268,328199,35.7,6538,648467,70.1,117135,12.7,5158,0.6,46815,5.1,284330,30.7,604700,80528,107527,65712,14816,92324,15203,20492,2.9
5001600US5110,"Congressional District 10 (116th Congress), Virginia",593061,293468,299593,38.8,4823,593061,69.1,68611,8,2284,0.3,133607,15.6,123194,14.4,563408,132226,168433,65712,66514,92324,76109,13056,2
5001600US5310,"Congressional District 10 (116th Congress), Washington",549123,272421,276702,37,4350,549123,71.3,49594,6.4,10547,1.4,56308,7.3,97072,12.6,560905,75114,90483,65712,9402,92324,-1841,20059,3.3
5001600US0611,"Congressional District 11 (116th Congress), California",413527,204498,209029,39.8,5141,413527,54,56424,7.4,4347,0.6,113376,14.8,222446,29.1,502739,103580,149198,65712,37868,92324,56874,16529,2.7
5001600US1211,"Congressional District 11 (116th Congress), Florida",703430,340749,362681,56,5684,703430,86.5,59904,7.4,3377,0.4,11809,1.5,96315,11.8,669669,52749,68637,65712,-12963,92324,-23687,15750,2.2
5001600US1311,"Congressional District 11 (116th Congress), Georgia",557147,274572,282575,37.6,3953,557147,71.2,139051,17.8,4304,0.5,24118,3.1,89980,11.5,552348,76640,108262,65712,10928,92324,15938,12478,2
